"Privileges","Permitted","Entitlement ID"
"Course/Organization Control Panel (Customization) > Teaching Style, Menu Style","false","course.configure-button-style.EXECUTE"
"Course/Organization (Content Areas) > Adaptive Release > Create Performance-Based Criteria","false","course.adaptiverelease.performance.CREATE"
"Course/Organization (Content Areas) > Adaptive Release > Create/Copy Rule","false","course.adaptiverelease.CREATE"
"Course/Organization Control Panel (Tools) > Send Email","false","course.email.EXECUTE"
"Course/Organization (Content Areas) > Adaptive Release > Delete Performance-Based Criteria","false","course.adaptiverelease.performance.DELETE"
"Course/Organization Control Panel (Tools) > Rubrics > View Rubric","false","course.rubrics.VIEW"
"Course Control Panel (Users and Groups) > Users > Remove any user role from Course","false","course.user.all-roles.DELETE"
"Course/Organization (Content Areas) > Adaptive Release > Delete Rule","false","course.adaptiverelease.DELETE"
"Course/Organization Control Panel (Tools) > Tests, Surveys, and Pools > Tests","false","course.assessment.MODIFY"
"Course/Organization (Content Areas) > Delete Materials","false","course.content.DELETE"
"Course/Organization > Conversations > Address message to all members","false","course.conversations.message-all-members.CREATE"
"Course/Organization Control Panel (Customization) > Properties, Classification","false","course.configure-classification.EXECUTE"
"Administrator Panel (Tools and Utilities) > Manage Javascript Hacks","false","system.jshacks.MODIFY"
"Course/Organization Control Panel (Customization) > View Progress Tracking","false","course.progress.information.VIEW"
"Course/Organization Control Panel (Tools) > Journals > Edit Journal","false","course.journal.MODIFY"
"Course/Organization > Automations > Delete","false","course.automations.DELETE"
"""Grade Approval and Transfer > Execute""","false","entitlement.gj.gradeApproval.EXECUTE"
"Course/Organization Control Panel (Grade Center) > Generate AI Feedback Changes","false","course.gradebook-grades.ai.feedback.EXECUTE"
"Course/Organization Gradebook > Gradebook Item > Exceptions > Edit Item Due Date Exception","false","course.gradebook-item.exceptions.MODIFY"
"Course/Organization Gradebook > Gradebook Item > Exceptions > View Item Due Date Exception","false","course.gradebook-item.exceptions.VIEW"
"Administrator Panel (Organizations) > Organizations > Roster > Member > Remove","false","org.enrollment.DELETE"
"Course/Organization Control Panel (Grade Center) > Configure Delegated Grading/Parallel Grading reconcilers","false","course.gradebook-configure-reconcilers.EXECUTE"
"Course Outline > Course Roster > Invite People","false","course.invite-user-enroll.EXECUTE"
"Course/Organization Outline > Microsoft Teams > Configure","false","course.cloud.o365.teams.MODIFY"
"Course/Organization Control Panel (Customization)","false","course.customization.VIEW"
"Course/Organization (Content Areas) > Adaptive Release > Edit User/Group Criteria","false","course.adaptiverelease.acl.MODIFY"
"Course/Organization Control Panel (Tools) > SafeAssign > Create and Manage SafeAssignments","false","course.safeassignment.MODIFY"
"Course/Organization Control Panel (Grade Center) > Change Due Date of Grade Center Items","false","course.gradebook-item.duedate.MODIFY"
"Course/Organization Control Panel (Grade Center) > Upload Grade Data","false","course.gradebook-data.import.EXECUTE"
"Course/Organization Control Panel (Evaluation) > Early Warning System > Create Rule","false","course.ews.CREATE"
"Course/Organization Control Panel (Packages and Utilities) > Import Package","false","course.actions-import-package.EXECUTE"
"Course/Organization Control Panel (Customization) > Properties, Categorize Course/Organization","false","course.categorize.EXECUTE"
"Course/Organization Control Panel (Tools) > Calendar > Delete Event","false","course.calendar-entry.event.DELETE"
"Course/Organization Control Panel (Users and Groups) > Users > Set Non-System DSK instructor as primary in Ultra Course View","false","course.user-role.non-system.data-sources.primary-instructor.MODIFY"
"Course/Organization (Content Areas) > Adaptive Release > Delete User/Group Criteria","false","course.adaptiverelease.acl.DELETE"
"Course/Organization > Messages > Edit Message","false","course.user.message.MODIFY"
"Course Control Panel (Users and Groups) > Users > Batch Enroll Users for all roles","false","course.user.batch.all-roles.CREATE"
"Course/Organization Control Panel (Customization) > Edit Message Options","false","course.message-options.MODIFY"
"Show username even when hidden from other users","false","system.user.hidden_user_names.VIEW"
"Course/Organization Control Panel (Tools) > Blogs > Edit Blog","false","course.blog.MODIFY"
"Course/Organization Control Panel (Packages and Utilities) > Course/Organization Copy > Copy Materials into an Existing Course/Organization","false","course.content.copy.exists.EXECUTE"
"Show/Hide Course Banner Image","false","course.banner.visibility.MODIFY"
"Allow use of Open Badges","false","course.achievements.use-openbadge.EXECUTE"
"Course/Organization Control Panel (Evaluation) > SCORM Reports, View","false","course.scormreport.EXECUTE"
"Course/Organization (Content Areas) > Adaptive Release > Delete Date-Based Criteria","false","course.adaptiverelease.dates.DELETE"
"Course/Organization (Content Areas) > Deploy Tests and Surveys","false","course.content.assessment.deploy.EXECUTE"
"Course/Organization Control Panel (Grade Center) > View Attempts","false","course.gradebook.attempts.VIEW"
"Course/Organization > Individual > View notes about a course individual (Ultra Course/Organization View)","false","course.user.notes.VIEW"
"Course/Organization (Content Areas) > Edit Materials","false","course.content.MODIFY"
"Course/Organization Control Panel (Grade Center) > Edit Anonymous Grading Options (Show student names on submissions)","false","course.gradebook-deanonymize.EXECUTE"
"Course/Organization > Automations > Add","false","course.automations.CREATE"
"Course/Organization > Manage Files","false","course.coursefiles.EXECUTE"
"Course/Organization Control Panel (Tools) > Send Email, Override User Privacy Options","false","course.email.override.privacy.VIEW"
"Course/Organization Control Panel (Users and Groups) > Users > Set System DSK instructor as primary in Ultra Course View","false","course.user-role.primary-instructor.MODIFY"
"Course/Organization (Tools) > Send Email > All Users","false","course.email-all-users.EXECUTE"
"Course/Organization Control Panel (Tools) > Blogs > Delete Blog Entry","false","course.blog.entry.DELETE"
"Course/Organization > Automations > Edit","false","course.automations.MODIFY"
"Course/Organization Control Panel (Tools) > Wiki > Manage All Wikis","false","course.wiki.manage.EXECUTE"
"Course Control Panel (Customization) > Properties, Add Structure","false","course.add.structure.EXECUTE"
"Course/Organization > Content > + > Learning Object Repository","false","course.lor.INSERT"
"Course/Organization Control Panel (Packages and Utilities) > Bulk Delete","false","course.actions-recycle.EXECUTE"
"Course/Organization (Tools) > Send Email > All Student/Participant Users","false","course.email-all-students.EXECUTE"
"Course/Organization Control Panel (Users and Groups) > Groups > Add/Remove Members","false","course.group-user.manage.EXECUTE"
"Course/Organization Control Panel (Packages and Utilities) > Course/Organization Copy > Copy Course/Organization with Users (Exact Copy)","false","course.content.copy.exact.EXECUTE"
"Course/Organization Control Panel (Tools) > Journals > Edit Journal Entry","false","course.journal.entry.MODIFY"
"Course/Organization Control Panel (Evaluation) > Early Warning System > Edit Rule","false","course.ews.MODIFY"
"Course/Organization Control Panel (Tools) > Wiki > Create Wiki","false","course.wiki.CREATE"
"Course/Organization Control Panel (Tools) > Journals > Grade Journal","false","course.journal.grade.EXECUTE"
"Course/Organization Control Panel (Customization) > View Progress Tracking Configuration","false","course.progress.settings.VIEW"
"Course Control Panel (Customization) > Teaching Style, Choose Theme","false","course.change.theme.EXECUTE"
"Course/Organization Control Panel (Tools) > Announcements > Delete Announcement","false","course.announcements.DELETE"
"Course/Organization Control Panel (Customization) > Properties, Name and Description","false","course.name.MODIFY"
